	cocoid	url	caption
0	108655	http://mscoco.org/images/108655	 large train riding down the tracks on a cloudy day.
1	110944	http://mscoco.org/images/110944	 a man standing on the side of a court holding a microphone.
2	114617	http://mscoco.org/images/114617	 a girl and a man playing frisbee in the grass.
3	115005	http://mscoco.org/images/115005	 a desk with a laptop and multiple computer monitors.
4	117719	http://mscoco.org/images/117719	 bottles
5	117961	http://mscoco.org/images/117961	 a four way stop sign in a residential neighborhood.
6	118330	http://mscoco.org/images/118330	 long umbrella covered dining tables on a patio.
7	120320	http://mscoco.org/images/120320	 a man looking underneath a sink with a cell phone light.
8	128201	http://mscoco.org/images/128201	 assortment of wooden chairs in large room with wooden floor.
9	12897	http://mscoco.org/images/12897	 adults and children in walkways near escalators with luggage lined up.
10	148963	http://mscoco.org/images/148963	 a group of people on a field playing baseball.
11	167599	http://mscoco.org/images/167599	 a toilet sits next to a sink in an empty bathroom. 
12	171536	http://mscoco.org/images/171536	 people sitting at a restaurant table eating pizza.
13	171733	http://mscoco.org/images/171733	 a truck tows a tractor down the street.
14	180002	http://mscoco.org/images/180002	 a group of people hold their surfboards up while posing for a photo on a beach.
15	182523	http://mscoco.org/images/182523	 two men and a woman with skis standing in the snow.
16	19236	http://mscoco.org/images/19236	 men eating sandwiches on a sidewalk by a street sign.
17	193488	http://mscoco.org/images/193488	 a cat sitting in a bathtub made into a bed next to a bicycle.
18	197950	http://mscoco.org/images/197950	 several people walking outside near a sales booth.
19	205756	http://mscoco.org/images/205756	 two children dining at a table inside of a tent.
20	208011	http://mscoco.org/images/208011	 two cats are hiding near stacked green chairs.
21	24159	http://mscoco.org/images/24159	 an older woman showing off a cake in a kitchen.
22	253903	http://mscoco.org/images/253903	 a single cab of a train is pulled up to the depot.
23	271759	http://mscoco.org/images/271759	 a woman cuts a pan of cookies into bars on a kitchen counter.
24	271862	http://mscoco.org/images/271862	 a city street with a tower in the background.
25	271870	http://mscoco.org/images/271870	 a line of food trucks parked on a city street.
26	282730	http://mscoco.org/images/282730	 a large brick tower with a clock on the side.
27	294663	http://mscoco.org/images/294663	 a person on skis looking at the view of a mountain and a lake from a hill top.
28	299492	http://mscoco.org/images/299492	 a train is crossing a metal bridge over a river. 
29	301110	http://mscoco.org/images/301110	 people standing around and in line
30	304079	http://mscoco.org/images/304079	 a bench in front of a small lake with a house in the background.
31	30434	http://mscoco.org/images/30434	 a victorian inspired room with a four post bed.
32	307567	http://mscoco.org/images/307567	 a two engine prop plane on the runway with airport personnel.
33	307784	http://mscoco.org/images/307784	 a kitchen sink and counter with brown and tan wall tiles.
34	309371	http://mscoco.org/images/309371	 fair-goers sit in the shade outside a carnival tent.
35	309386	http://mscoco.org/images/309386	 a man and a woman sitting at a table having pizza.
36	312946	http://mscoco.org/images/312946	 a herd of cows in a field with a train passing behind.
37	314812	http://mscoco.org/images/314812	 a woman is playing with a nintendo wiimote.
38	319935	http://mscoco.org/images/319935	 a hotel suite with balcony overlooking the scenery. 
39	324611	http://mscoco.org/images/324611	 vintage green chairs and a couch in a living room paneled in wood.
40	327032	http://mscoco.org/images/327032	 a child and a man watch another child playing a video game. 
41	327663	http://mscoco.org/images/327663	 police on foot
42	329952	http://mscoco.org/images/329952	 a person doing a trick on a snowboard over a hill.
43	335524	http://mscoco.org/images/335524	 three skiers with poles are posing for a picture.
44	344669	http://mscoco.org/images/344669	 two fire trucks driving down the street of a residential neighborhood.
45	36077	http://mscoco.org/images/36077	 a person sitting on a bus on a street.
46	365745	http://mscoco.org/images/365745	 a bomb squad vehicle in the middle of an intersection.
